,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Other Renewable,Nuclear
21,2002-10-01,1129.85475,6421.0685,,28.4844166667,11550.6788333,1089.46716667,292.422833333,2574.45475
22,2002-11-01,1130.75466667,6404.68366667,,28.1950833333,11563.45375,1038.31775,297.45225,2648.4545
23,2002-12-01,1098.27075,6393.5925,,27.8399166667,11484.09625,1014.16225,304.101083333,2630.07291667
24,2003-01-01,1055.40558333,6391.366,,28.0536666667,11457.2684167,1020.29991667,306.071583333,2639.74608333
25,2003-02-01,1061.83738583,6355.64545583,,25.7984633333,11433.0594917,1015.1138825,306.244405833,2652.7735
26,2003-03-01,1075.47852417,6297.88555667,,26.0520925,11460.8404958,1052.46244333,308.207999167,2685.11608333
27,2003-04-01,1033.5697575,6282.783485,,25.761905,11408.7410642,1106.02373083,307.7504875,2637.43916667
28,2003-05-01,986.088190833,6257.3315575,,25.9228325,11389.2589742,1135.05078,309.582348333,2659.90208333
29,2003-06-01,873.474915,6293.54523,,23.1370216667,11383.3039033,1195.46997583,313.3035475,2669.01116667
30,2003-07-01,825.9833875,6294.49096083,,21.0519041667,11389.0148125,1222.26310083,315.292505833,2694.74291667
31,2003-08-01,774.256876667,6304.7477775,,22.289645,11403.778765,1271.64617167,315.944659167,2699.71525
32,2003-09-01,744.166244167,6277.19598917,,22.2328333333,11314.0545817,1238.39615417,316.968616667,2699.47733333
33,2003-10-01,778.324573333,6206.87157833,,22.5200466667,11304.5900358,1267.71078417,315.211229167,2697.86308333
34,2003-11-01,794.553655833,6227.87522833,,22.9210475,11354.283125,1319.73987667,315.79318,2657.12766667
35,2003-12-01,836.513209167,6220.5779725,,24.1386791667,11383.0324083,1332.94899333,315.16264,2637.18316667
36,2004-01-01,885.5184175,6235.96869667,,24.5854125,11446.2309033,1331.41826917,314.936080833,2636.31575
37,2004-02-01,888.190009167,6301.48636417,,26.2075841667,11478.3461392,1293.420845,315.310695833,2635.76783333
38,2004-03-01,862.2748675,6347.39472083,,26.4183883333,11437.0442425,1244.87080167,315.009305833,2622.82841667
39,2004-04-01,887.5116125,6428.15624667,,26.4377841667,11596.5819275,1219.91556667,315.73657,2700.45025
40,2004-05-01,952.25179,6478.2336275,,26.66643,11640.7166717,1164.07045333,311.687128333,2690.22458333
41,2004-06-01,983.726515833,6429.16398083,,26.242205,11579.2305542,1123.46440167,311.6318975,2687.72808333
42,2004-07-01,998.130084167,6408.71343417,,25.8585,11567.54908,1127.37059,311.3137375,2679.28666667
43,2004-08-01,1036.39976167,6365.03963333,,25.6387808333,11538.1200142,1101.63490167,307.269053333,2685.96558333
44,2004-09-01,1051.58311667,6379.3364075,,26.2081516667,11591.3980933,1133.57996583,303.951151667,2681.5775
45,2004-10-01,1011.76678,6460.45054833,,26.8572733333,11617.3029217,1124.59143583,305.9095825,2673.39191667
46,2004-11-01,987.522185,6452.45801917,,26.6929733333,11575.9022475,1103.83895,305.36911,2686.81166667
47,2004-12-01,919.547881667,6473.68369083,,26.3706158333,11504.5132292,1117.3750825,304.7432275,2650.71925
48,2005-01-01,845.38175,6510.70478667,,27.7591941667,11495.7150858,1155.78757083,303.900166667,2641.18525
49,2005-02-01,832.52386,6437.90809917,,25.7238791667,11367.0676617,1128.35072333,306.453121667,2625.56741667
50,2005-03-01,822.002846667,6442.69368333,,25.5773458333,11372.8269983,1136.19459083,305.58849,2630.26216667
51,2005-04-01,782.089513333,6404.87431833,,25.4266125,11281.7781633,1146.79885417,305.823908333,2606.587
52,2005-05-01,744.7464375,6436.573225,,24.7456741667,11342.3483833,1208.954985,307.70282,2608.45633333
