,DateTime,Hydro,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
64,2006-05-01,0.461185833333,,3.414495,534.778671667,,518.4479,12.45509
65,2006-06-01,0.45908,,3.3149075,537.226549167,,520.9013075,12.5512541667
66,2006-07-01,0.438993333333,,3.24295333333,533.023580833,,516.733686667,12.6079483333
67,2006-08-01,0.411315,,3.10607666667,533.402653333,,517.2723325,12.6129308333
68,2006-09-01,0.380878333333,,2.99062916667,555.161005833,,539.1474775,12.6420216667
69,2006-10-01,0.366933333333,,2.91460083333,567.304565833,,551.291798333,12.7312358333
70,2006-11-01,0.3624325,,2.8012975,561.245956667,,545.306630833,12.7755991667
71,2006-12-01,0.365075833333,,2.62541583333,564.034938333,,548.214764167,12.8296858333
72,2007-01-01,0.363668333333,,2.82924916667,587.486995833,,571.397665,12.8964175
73,2007-02-01,0.359765,,2.62170583333,600.63213,,584.799445,12.8512175
74,2007-03-01,0.367054166667,,2.50149,595.7570675,,579.938596667,12.94993
75,2007-04-01,0.374725833333,,2.05733666667,605.675533333,,590.3736725,12.8698016667
76,2007-05-01,0.378275,,1.9523125,632.450208333,,617.103433333,13.0161908333
77,2007-06-01,0.3667175,,1.892435,631.02888,,615.731298333,13.0384316667
78,2007-07-01,0.372565833333,,1.87161583333,644.0863275,,628.757259167,13.0848883333
79,2007-08-01,0.383739166667,,1.89089333333,647.449290833,,632.026771667,13.1478883333
80,2007-09-01,0.406925,,1.852955,631.787794167,,616.3469925,13.1809233333
81,2007-10-01,0.4136725,,1.92909083333,621.412115833,,605.94976,13.1195933333
82,2007-11-01,0.414075833333,,1.94947,622.709190833,,607.198681667,13.1469633333
83,2007-12-01,0.4111325,,2.00853666667,622.109616667,,606.532890833,13.1570566667
84,2008-01-01,0.414750833333,,2.19449,615.6054825,,599.7956575,13.2005841667
85,2008-02-01,0.416389166667,,2.44436916667,612.252120833,,596.319200833,13.0721608333
86,2008-03-01,0.411410833333,,2.29303916667,618.723595833,,603.084655833,12.9344891667
87,2008-04-01,0.41167,,2.42533416667,632.209585833,,616.48681,12.8857708333
88,2008-05-01,0.406900833333,,2.45969166667,609.641058333,,593.87046,12.904005
89,2008-06-01,0.410105833333,,2.42915416667,612.83377,,597.145618333,12.8488916667
90,2008-07-01,0.4056675,,2.33657916667,612.520864167,,597.065620833,12.7129983333
91,2008-08-01,0.41155,,2.2044375,608.9866925,,593.7525825,12.6181233333
92,2008-09-01,0.4040575,,2.26400083333,627.069895833,,611.880136667,12.5217016667
93,2008-10-01,0.3979475,,2.11359333333,632.646254167,,617.658900833,12.4758141667
94,2008-11-01,0.397690833333,,2.04560666667,618.340335,,603.562166667,12.3348725
95,2008-12-01,0.394645833333,,1.95599916667,631.6830725,,617.155073333,12.1773566667
96,2009-01-01,0.394665833333,,1.4275575,641.402038333,,627.529815,12.0500016667
97,2009-02-01,0.388333333333,,1.22876333333,641.9070375,,628.313634167,11.9763091667
98,2009-03-01,0.384033333333,,1.08141166667,636.9223075,,623.475710833,11.9811541667
99,2009-04-01,0.379141666667,,0.8782025,625.825164167,,612.6166,11.9512225
100,2009-05-01,0.374599166667,,0.761671666667,633.624084167,,620.6057175,11.8820983333
101,2009-06-01,0.364,,0.7710875,635.9917125,,623.0385525,11.818075
