,DateTime,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable
88,2008-05-01,375.84247,,24.2317525,552.869036667,,114.589510833,0.0,13.1170358333
89,2008-06-01,352.468189167,,26.0920691667,531.369224167,,115.665015,0.0,12.53539
90,2008-07-01,326.335873333,,25.8990358333,490.537038333,,102.868195,0.0,11.8510208333
91,2008-08-01,300.32549,,25.6842633333,449.584885833,,90.5557233333,0.0,11.4973258333
92,2008-09-01,295.584399167,,27.1548383333,446.3643375,,91.6486091667,0.0,11.97959
93,2008-10-01,276.676023333,,24.1020583333,429.446419167,,95.8722516667,0.0,11.6684225
94,2008-11-01,274.9447625,,24.2611583333,442.191638333,,110.476049167,0.0,11.4139516667
95,2008-12-01,246.749945,,24.2241941667,411.842319167,,109.582415833,0.0,10.9342975
96,2009-01-01,237.347574167,,21.5304775,403.463571667,,114.7000475,0.0,10.4676133333
97,2009-02-01,232.446915,,17.3395316667,392.527939167,,115.8382225,0.0,10.1773375
98,2009-03-01,236.4272475,,13.9011608333,397.251473333,,120.717315,0.0,10.079975
99,2009-04-01,226.8713525,,12.3169616667,389.019955833,,123.71522,0.0,9.99064666667
100,2009-05-01,216.63045,,10.6501591667,387.209583333,,133.969965833,0.0,9.8332825
101,2009-06-01,225.582394167,,8.64860916667,412.9580925,,152.51608,0.0,10.2877566667
102,2009-07-01,242.026629167,,7.25386416667,449.64477,,177.843055,0.0,10.8029833333
103,2009-08-01,252.691284167,,6.09744916667,488.4247175,,210.714304167,0.0,11.14784
104,2009-09-01,247.8305625,,4.05732,493.70868,,225.883334167,0.0,11.0781175
105,2009-10-01,251.046799167,,3.56740916667,500.934596667,,234.162163333,0.0,11.2834558333
106,2009-11-01,238.606524167,,3.30585166667,492.454724167,,239.032236667,0.0,11.3975275
107,2009-12-01,232.349450833,,3.27905416667,492.625045833,,245.727,0.0,11.2695433333
108,2010-01-01,214.0308325,,4.674555,468.9704175,0.213000833333,238.748578333,0.0,11.5164525
109,2010-02-01,196.0706375,,4.84005416667,447.2680925,0.249066666667,234.610321667,0.0,11.7470808333
110,2010-03-01,176.742194167,,4.41023916667,434.633304167,0.2899225,241.8003925,0.0,11.68048
111,2010-04-01,175.45872,,4.51058333333,454.660315,0.3301425,262.799046667,0.0,11.8919666667
112,2010-05-01,180.3789575,,4.69628416667,481.739458333,0.37153,284.482045,0.0,12.1821733333
113,2010-06-01,181.6440975,,4.65949083333,491.389270833,0.3893,291.249360833,0.0,12.3481558333
114,2010-07-01,167.811233333,,4.91444416667,483.033719167,0.411390833333,294.351278333,0.0,12.4455975
115,2010-08-01,158.845195,,5.07934083333,481.5825375,0.404565833333,299.014610833,0.0,12.5494741667
116,2010-09-01,152.487310833,,4.91186666667,483.58675,0.410579166667,303.87114,0.0,12.6680991667
117,2010-10-01,143.3107375,,4.6652925,486.348205833,0.403239166667,313.126189167,0.0,12.6874033333
118,2010-11-01,136.2354675,,4.56786916667,495.839635833,0.3981075,328.465239167,0.0,12.4959766667
119,2010-12-01,131.854936667,,4.52093583333,524.944201667,0.404621666667,359.6859625,0.0,13.0565325
120,2011-01-01,121.249655833,0.689984166667,3.144955,549.182900833,0.402084166667,394.28075,0.0,13.15304
121,2011-02-01,104.598476667,0.809555,2.32779166667,570.18121,0.413658333333,430.965263333,0.0,13.2834266667
122,2011-03-01,101.573705,0.895735833333,2.2529175,594.4412175,0.4075325,456.886904167,0.0,13.3782725
123,2011-04-01,97.6015075,1.0726175,2.13276,607.510625833,0.399075,472.4536175,0.0,13.4643225
124,2011-05-01,92.0813875,1.2815625,2.03736333333,625.9483,0.3876825,495.157008333,0.0,13.0725383333
125,2011-06-01,92.1999925,1.46792583333,1.97908083333,648.401756667,0.383774166667,517.666366667,0.0,12.9850441667
126,2011-07-01,89.0394116667,1.634395,1.8403025,662.9804575,0.38288,535.220878333,0.0,12.7481383333
127,2011-08-01,88.0510175,1.73750083333,1.75006416667,677.268510833,0.38667,550.077305,0.0,12.6340691667
