,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Petroleum Coke,Other Renewable,Geothermal,Nuclear
36,2004-01-01,2845.07744083,186.4840275,47.5741666667,14.3331475,16231.69625,358.822939167,8351.85273833,174.24164,1997.57494417,1092.108845,2522.32391667
37,2004-02-01,2808.93812167,182.2226275,47.2249166667,15.0348391667,16183.6631417,362.539555833,8349.037915,176.224863333,1996.51677167,1089.5815275,2522.02725
38,2004-03-01,2813.8376925,178.320296667,47.3920833333,14.783075,16085.7351808,358.196305833,8263.16933,179.0962,1977.9638625,1078.51350083,2518.63941667
39,2004-04-01,2770.73080833,176.37047,46.1005,13.5543183333,16035.1681808,362.086316667,8172.70160583,181.10486,1977.5202175,1075.87941833,2600.9745
40,2004-05-01,2775.71109417,182.785895833,46.1383333333,12.7287791667,16040.5152992,364.569805833,8051.597855,184.210866667,1980.22895667,1078.713505,2686.62258333
41,2004-06-01,2914.018505,183.4313425,46.0176116667,13.9664216667,16150.7546592,357.686910833,7962.332235,186.084989167,1978.59820917,1083.223355,2741.13125
42,2004-07-01,3023.84307083,183.226625833,45.9376116667,14.2300183333,16262.4525467,349.444599167,7927.05087417,185.5614325,1971.62132083,1085.03644,2776.47191667
43,2004-08-01,3095.09019583,181.78554,45.032695,16.6777858333,16392.2252858,341.86198,7975.745675,184.921803333,1961.51521417,1083.90122917,2783.09666667
44,2004-09-01,3136.96011,179.439115,45.171945,21.60939,16516.0154775,332.925949167,8046.61591167,184.722549167,1951.66727083,1083.6478,2784.08708333
45,2004-10-01,3173.18384,178.825068333,45.1528616667,21.7025825,16459.5018625,336.726883333,7939.21573583,186.175619167,1955.52112833,1086.2239525,2785.15816667
46,2004-11-01,3209.0702475,179.011530833,45.442945,21.4249658333,16477.4298408,341.983291667,7851.18898833,189.3459575,1956.05518667,1084.23251333,2847.38166667
47,2004-12-01,3238.5135875,181.51597,45.1786116667,21.2790316667,16534.0355025,347.119088333,7786.0348,189.632691667,1962.14056583,1084.56192083,2922.30008333
48,2005-01-01,3302.6555475,177.9479025,44.7261116667,21.3912641667,16691.0681725,355.185751667,7779.48744083,190.583506667,1971.18726083,1085.21993333,3012.90816667
49,2005-02-01,3484.3173575,180.905115833,45.0660283333,20.0832883333,16829.0270883,364.026188333,7759.85306,190.636621667,1978.1363075,1082.17890333,2968.26508333
50,2005-03-01,3586.1947575,182.011343333,45.5805283333,20.2407516667,16958.1830392,369.4462925,7788.29647583,189.208526667,1988.52407083,1084.90996167,2956.30991667
51,2005-04-01,3734.18772083,179.2712375,45.1795283333,19.5385891667,17111.6275858,373.95716,7842.75095333,187.7150225,1995.00441417,1088.688005,2899.22791667
52,2005-05-01,3890.9608725,179.56127,44.7246116667,18.5285725,17080.0050867,374.034105833,7824.335215,189.08897,1985.7569175,1083.15342333,2750.89933333
53,2005-06-01,3973.06338417,176.974165833,43.812,19.451295,17173.8098517,376.204815833,7924.9047575,186.927959167,1968.3908825,1069.32087917,2684.65491667
54,2005-07-01,4015.69452417,177.764309167,42.2033333333,20.8988666667,17406.1359892,377.193479167,8110.282235,185.227123333,1961.3088525,1064.94367833,2690.96441667
55,2005-08-01,4030.24864417,177.55549,41.2998333333,19.6775775,17633.1031358,380.599600833,8323.31736917,185.680425,1962.25112167,1064.41228917,2695.65225
56,2005-09-01,4047.81119083,180.252729167,41.8365833333,18.3836566667,17643.4324908,390.257416667,8306.38646917,184.198200833,1974.67638583,1066.98156,2700.52133333
57,2005-10-01,4046.74515417,182.538584167,41.27975,20.292445,17811.3300308,390.056210833,8462.424365,181.593184167,1974.73799833,1067.11851083,2716.07183333
58,2005-11-01,4035.20164833,183.477561667,40.8771666667,21.7117141667,17968.6678942,396.231076667,8635.079215,178.867463333,1980.90364583,1068.22857167,2708.47075
59,2005-12-01,4049.539165,186.2167825,41.1713333333,22.8118166667,18074.0887433,402.487035,8722.52627667,176.391285833,1986.88829167,1066.70161,2708.31233333
60,2006-01-01,4003.94834083,186.278494167,41.2143333333,22.6794241667,18066.5573492,406.900083333,8807.5930175,174.668413333,1992.94961417,1068.452835,2663.21841667
61,2006-02-01,3795.6509525,188.091745833,41.2588875,23.3781241667,18071.5997875,402.877814167,8932.250965,173.227344167,2014.43227583,1073.594785,2729.67075
62,2006-03-01,3623.15165667,189.540866667,41.2666525,23.05112,18062.0909333,410.545339167,9020.30645083,172.019765,2020.346185,1075.03682667,2796.10458333
63,2006-04-01,3412.70449167,189.0632025,42.5612858333,23.8403816667,17912.91447,415.027563333,9001.4447475,169.761576667,2019.17156667,1070.8173675,2877.17491667
64,2006-05-01,3151.75002667,191.580456667,42.7163125,27.8337783333,17936.0587292,430.193930833,9099.919765,168.522814167,2038.67885083,1074.31719,3028.52925
65,2006-06-01,2915.08291333,194.0199225,43.9007308333,29.1104866667,17767.8228475,443.115525833,9135.63594,169.1162625,2057.1098275,1081.22414917,3040.01516667
66,2006-07-01,2703.64982833,194.517144167,45.0339258333,29.937975,17569.9912725,454.195224167,9169.3842375,169.585585,2072.12269833,1085.13467417,3012.61175
67,2006-08-01,2598.43011583,194.773456667,46.3904275,29.2341391667,17366.2287417,465.6040975,9064.32696083,168.737566667,2083.05182333,1085.06174833,3011.17316667
68,2006-09-01,2515.9317625,194.681258333,44.9874366667,28.1180266667,17481.4377892,473.882006667,9281.7125525,168.489515833,2085.36949917,1082.7209825,2990.68875
