,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Geothermal
17,2002-06-01,2866.46133333,306.663416667,,2.84,3891.76975,34.2515,621.568083333,91.079455,
18,2002-07-01,2835.03791667,338.230833333,,3.17675,3886.83575,33.9590833333,616.667083333,90.5282041667,
19,2002-08-01,2777.48933333,361.220833333,,3.24341666667,3931.31791667,33.315,697.0815,89.0503258333,
20,2002-09-01,2761.33983333,363.776833333,,3.45416666667,3964.905,32.9165,745.798333333,87.2984891667,
21,2002-10-01,2743.86825,363.574,,3.62616666667,3990.71983333,33.7696666667,789.339083333,86.9989175,
22,2002-11-01,2736.10766667,363.24275,,3.63025,4012.21216667,35.56425,818.040333333,87.86332,
23,2002-12-01,2729.14375,362.949666667,,3.63416666667,4035.33025,37.5163333333,845.894833333,90.33155,
24,2003-01-01,2770.86091667,358.73725,,3.67483333333,4080.51158333,36.96825,853.641416667,90.21639,
25,2003-02-01,2796.99248333,361.171341667,,6.8605325,4119.71774083,38.8535741667,860.705961667,90.4743141667,
26,2003-03-01,2805.47832083,362.620516667,,5.69067083333,4158.9193125,38.5412458333,892.6497475,88.9355683333,
27,2003-04-01,2789.74884167,362.898608333,,4.66620666667,4171.65326167,39.5534941667,922.6887575,88.1023241667,
28,2003-05-01,2732.64452583,361.058366667,,4.77612916667,4169.43724417,40.9252375,978.30337,89.0569858333,
29,2003-06-01,2708.14280417,359.670125,,4.6064625,4192.70545167,42.6038716667,1026.13069583,90.6072958333,
30,2003-07-01,2688.777425,328.0368,,4.26887916667,4163.86016,44.5959733333,1046.85875917,92.3878991667,
31,2003-08-01,2693.7078475,296.082308333,,4.58097,4141.873705,46.7582633333,1050.37571667,93.5914466667,
32,2003-09-01,2683.64281333,290.875566667,,4.48847416667,4137.67511833,49.7838375,1059.3747975,95.7575416667,
33,2003-10-01,2712.714155,292.926658333,,4.32465166667,4166.00837333,51.3075641667,1056.65520417,95.8743616667,
34,2003-11-01,2726.73740083,294.880166667,,4.3662225,4193.72126333,52.6033233333,1067.975795,96.2628458333,
35,2003-12-01,2738.09011833,293.833508333,,5.03526166667,4227.59558833,50.0129225,1095.37550917,91.8015983333,
36,2004-01-01,2756.73490917,296.3051,,5.24440333333,4281.77318333,51.5843341667,1127.09856083,92.9252908333,
37,2004-02-01,2751.7073775,299.778488333,,2.77513833333,4279.60297,50.74181,1127.51435167,94.3877191667,
38,2004-03-01,2744.01935583,300.281396667,,3.13449333333,4272.85635167,50.7719566667,1125.15353417,96.8811616667,
39,2004-04-01,2707.66480167,296.581805,,3.39154916667,4266.65700333,50.1557541667,1156.8885975,98.7638858333,
40,2004-05-01,2684.78752167,298.734963333,,3.64401083333,4277.0815875,51.1412316667,1184.86018,101.709148333,
41,2004-06-01,2707.41074917,300.616121667,,3.66680833333,4265.33503417,50.4837333333,1146.38100333,103.908548333,
42,2004-07-01,2677.35308,334.070446667,,3.67069833333,4256.02520667,51.8829366667,1130.09652333,107.479351667,
43,2004-08-01,2667.659595,363.892105,,3.94933166667,4259.41936667,52.4053091667,1109.64088667,110.9086875,
44,2004-09-01,2650.7840175,366.53393,,3.911325,4245.26669,52.75795,1106.38078,114.275588333,
45,2004-10-01,2617.96141083,365.437088333,,4.0010825,4212.79039333,53.5404166667,1103.98651917,118.0284175,
46,2004-11-01,2612.16225667,354.538496667,,4.07608666667,4201.057485,54.222025,1106.01854167,120.888730833,
47,2004-12-01,2611.8909825,322.142155,,4.31501416667,4161.91840333,59.69029,1091.1848325,129.012495833,
48,2005-01-01,2579.02875083,288.873813333,,6.51557416667,4110.4168775,61.1895016667,1099.2496275,133.375995833,
49,2005-02-01,2664.72347083,252.168666667,,5.82086583333,4108.9922375,67.2019516667,1043.81727583,139.0769725,
50,2005-03-01,2744.31081667,219.358416667,,5.20460416667,4131.79228083,70.2483833333,1017.61353083,141.9240375,
51,2005-04-01,2819.63299333,188.50675,,4.944275,4148.8027325,70.0679208333,990.385705,142.014298333,
52,2005-05-01,2965.51916167,154.722833333,,4.5806725,4172.247525,70.9752833333,901.3356025,142.73871,
53,2005-06-01,3037.97748333,156.372583333,,4.6522675,4234.457295,72.3073975,888.643079167,143.435850833,
54,2005-07-01,3126.21082583,123.052166667,,4.65093416667,4285.44682083,72.3954258333,884.403751667,143.738890833,
55,2005-08-01,3153.19843333,125.263666667,,3.86786416667,4343.66726,73.3900966667,913.157628333,144.778734167,
56,2005-09-01,3164.54824917,128.38725,,3.78894166667,4362.7429825,74.2840483333,916.6613075,145.938523333,
57,2005-10-01,3173.60805667,122.877416667,,3.7087175,4380.53043083,74.974355,930.027891667,146.872243333,
58,2005-11-01,3160.53922417,128.598416667,,3.65226916667,4389.59894,76.3939041667,943.592103333,149.7831475,
59,2005-12-01,3133.39097167,161.078333333,,3.0235825,4383.2285075,78.5026233333,929.798689167,152.547615,
60,2006-01-01,3154.19143833,197.552333333,,0.98499,4445.05792667,77.6015833333,936.55347,152.4156975,
61,2006-02-01,3123.8088225,231.678679167,,1.0257725,4505.97703167,74.3073333333,995.424664167,150.672434167,
62,2006-03-01,3052.75611,258.221130833,,1.38805,4495.2572375,74.7485,1027.42917083,152.060730833,
63,2006-04-01,3080.32257833,289.314428333,,1.67071,4518.56509667,77.2473333333,990.094788333,153.694435833,
64,2006-05-01,3008.45782917,316.396295833,,1.8066325,4515.86612083,79.7713333333,1028.97242417,156.8705,
65,2006-06-01,2952.86640583,317.178959167,,1.77166,4490.98997917,82.9211666667,1055.73702667,160.11253,
66,2006-07-01,2869.1058625,351.374211667,,1.779225,4498.4619575,87.2073333333,1109.29631667,163.608354167,
67,2006-08-01,2841.99438583,353.14003,,1.76800333333,4480.00429167,89.8015,1112.63133417,167.215690833,
68,2006-09-01,2834.5172825,352.985983333,,1.78389166667,4499.9884775,92.44875,1136.13458917,171.337101667,
69,2006-10-01,2817.0489975,359.363926667,,1.7729875,4512.227865,94.6744166667,1155.75432,175.087858333,
70,2006-11-01,2810.53406083,360.1014125,,1.73751416667,4515.91312333,94.15075,1165.44460083,174.964798333,
71,2006-12-01,2819.354345,362.822114167,,1.5578875,4568.81365667,91.6564183333,1208.11741667,173.7974575,
72,2007-01-01,2798.95329083,362.635325,,1.19055,4589.8161625,103.91619,1238.13897583,185.691078333,
73,2007-02-01,2762.21398417,358.611539167,,2.01563666667,4609.08039417,113.1392525,1288.27805,194.707653333,
74,2007-03-01,2760.277745,366.085853333,,1.723425,4664.7234375,120.179574167,1332.8238,200.523328333,
75,2007-04-01,2690.48513167,368.224096667,,1.43112833333,4709.06429917,131.759866667,1432.49642917,213.116649167,
76,2007-05-01,2624.42723917,368.433369167,,1.29775916667,4740.32509083,145.4346,1516.50035,226.2401575,
77,2007-06-01,2645.16839167,364.1318725,,1.239545,4795.88227417,158.766015833,1542.96891833,238.894119167,
78,2007-07-01,2757.52012333,345.28836,,1.28668333333,4838.19262667,180.5660725,1471.76385083,258.9006925,
79,2007-08-01,2801.21078167,340.7826125,,1.30384666667,4860.6598975,194.109331667,1442.2246175,271.637889167,
80,2007-09-01,2796.81881833,341.578344167,,1.28903166667,4869.95448083,204.951725,1445.90575917,280.84798,
81,2007-10-01,2808.44789583,336.560875,,1.31550083333,4878.62969333,208.051251667,1445.60552167,283.136891667,
82,2007-11-01,2810.7559075,339.620240833,,1.26849583333,4898.80339833,214.219288333,1455.08384083,288.384015,
