,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable
49,2005-02-01,344.596215,26.7809,,116.541134167,1530.9557675,,673.984009167,339.9163125
50,2005-03-01,350.1032175,26.819075,,114.853725833,1515.04699917,,652.420388333,341.449315833
51,2005-04-01,351.011300833,27.22795,,111.4561125,1484.354385,,624.418204167,340.8458025
52,2005-05-01,344.903501667,27.33658,,107.379731667,1452.02667333,,601.320014167,341.191874167
53,2005-06-01,345.880749167,27.5481858333,,106.136513333,1449.59553333,,602.5234925,337.326651667
54,2005-07-01,350.973558333,27.4223608333,,104.2974925,1440.39255833,,590.105215833,337.198003333
55,2005-08-01,359.446781667,26.6962941667,,98.94697,1441.9563925,,590.630124167,335.40096
56,2005-09-01,366.8637875,26.641205,,93.6175525,1425.61615167,,574.0449725,333.620368333
57,2005-10-01,373.131300833,26.4943575,,86.24956,1414.6466075,,565.5773225,332.658179167
58,2005-11-01,366.573838333,26.3875816667,,79.7399758333,1414.07774083,,576.854058333,334.338826667
59,2005-12-01,361.07373,26.468865,,74.6344391667,1407.60256167,,583.451186667,331.891266667
60,2006-01-01,356.511020833,26.771825,,49.5779325,1401.34772667,,608.154680833,330.637569167
61,2006-02-01,352.685263333,27.2290583333,,55.5584508333,1421.17301417,,626.004005,330.330911667
62,2006-03-01,347.928528333,27.653305,,67.3019175,1428.09391,,625.787806667,330.44587
63,2006-04-01,343.515824167,28.4939383333,,71.5122141667,1437.7706975,,635.311378333,330.103203333
64,2006-05-01,344.6581375,28.703635,,72.1054033333,1442.20994917,,638.271590833,329.957590833
65,2006-06-01,346.39681,28.6185333333,,73.5722216667,1433.439705,,622.56595,333.91019
66,2006-07-01,339.5245075,29.0993825,,72.2428941667,1422.17108333,,615.193833333,338.166315
67,2006-08-01,327.60986,29.70651,,70.2883483333,1404.74270917,,608.255023333,341.536458333
68,2006-09-01,316.8726,30.007065,,67.0672891667,1400.46960917,,615.7678225,343.786415833
69,2006-10-01,314.04476,30.0891225,,65.0604241667,1386.1363325,,603.632130833,346.226958333
70,2006-11-01,311.091399167,30.2392933333,,64.0187116667,1344.02619333,,564.501218333,346.917875
71,2006-12-01,310.875173333,30.6318866667,,62.6860233333,1327.8277175,,548.0947075,348.762134167
72,2007-01-01,311.513965,31.2980833333,,68.1981008333,1344.04728833,,556.2161475,350.581621667
73,2007-02-01,313.115630833,30.7836075,,66.098625,1343.7022375,,553.782935,353.985956667
74,2007-03-01,318.807475,30.2040225,,53.3588291667,1332.210055,,547.365889167,354.634514167
75,2007-04-01,329.096191667,31.2078841667,,49.2234325,1329.34998167,11.6425833333,536.530829167,355.439263333
76,2007-05-01,332.614618333,32.3394941667,,48.7226141667,1349.55021417,11.5151666667,549.559373333,358.872111667
77,2007-06-01,330.296615833,33.5580958333,,46.0604216667,1363.95525333,11.4085833333,568.95964,357.94941
78,2007-07-01,333.948091667,34.8737666667,,48.02349,1361.95778417,11.29675,565.078575,352.369046667
79,2007-08-01,342.2818275,34.8732791667,,48.9213241667,1365.9145125,11.3344166667,561.4769725,350.832349167
80,2007-09-01,355.638915833,34.3616925,,47.80442,1357.75434417,11.2984166667,543.295556667,349.419404167
81,2007-10-01,361.43126,33.7966891667,,47.8070941667,1378.12300833,10.9745833333,564.161665,344.568269167
82,2007-11-01,364.725898333,32.9497083333,,47.705505,1402.22247917,10.9806666667,589.717961667,341.0720175
83,2007-12-01,367.023806667,31.2393058333,,48.19449,1427.34387917,11.2940833333,613.140039167,341.629236667
84,2008-01-01,371.450448333,29.3166091667,,44.4153875,1424.57662167,10.9684166667,614.967896667,338.165379167
85,2008-02-01,373.234084167,28.8252433333,,53.4920733333,1430.49059667,10.8804066667,613.546806667,335.155274167
86,2008-03-01,370.851314167,27.9294491667,,53.0372091667,1434.710245,12.4858775,622.4718225,335.730008333
87,2008-04-01,367.722924167,23.8392483333,,52.5029833333,1436.38771,13.6789241667,633.9657025,333.315095833
88,2008-05-01,367.8567625,20.4398583333,,50.6929225,1413.24838833,15.1998766667,617.221038333,331.270906667
89,2008-06-01,367.600761667,16.8724325,,48.7489258333,1384.7848275,16.3641466667,599.58146,326.227258333
90,2008-07-01,363.891201667,13.0515958333,,45.3381383333,1386.7569525,17.4567241667,613.222918333,326.134545833
91,2008-08-01,367.439475,10.5903625,,43.4748625,1375.97284667,18.0859783333,607.1703975,322.0386475
92,2008-09-01,367.237,8.665355,,44.5708441667,1383.275235,19.0249325,615.665165833,321.2547825
93,2008-10-01,362.613789167,7.49034416667,,43.86042,1368.45903917,19.9587058333,606.779645833,320.789155833
94,2008-11-01,359.689295833,6.8370175,,43.520085,1372.6056475,21.3947866667,613.0969475,322.349595833
95,2008-12-01,353.337115,6.607755,,41.2599141667,1360.56816583,23.4255741667,606.599278333,325.460735833
96,2009-01-01,350.973215,6.01217666667,,36.1194308333,1362.48738917,24.8852483333,612.949500833,328.187025
97,2009-02-01,347.717135833,5.54535,,19.7157508333,1352.7799925,26.7526616667,623.150170833,328.222541667
98,2009-03-01,344.6533875,5.8545,,17.4001558333,1351.44871833,27.4947033333,626.0383025,329.2647775
99,2009-04-01,343.417068333,6.25517833333,,14.53073,1342.07337667,28.9221641667,615.9933625,334.006688333
100,2009-05-01,345.623778333,6.44367666667,,13.4604941667,1343.260575,29.2734008333,615.204215,334.989714167
101,2009-06-01,341.480379167,6.77068333333,,13.7063283333,1362.44113917,30.6738041667,631.2127975,341.80934
102,2009-07-01,337.437149167,6.75047583333,,14.4309633333,1375.8827175,31.1255016667,643.633204167,345.718896667
103,2009-08-01,326.668498333,6.988315,,17.57701,1395.9469775,32.5533866667,665.590533333,351.1222475
104,2009-09-01,313.4281525,7.27424416667,,18.4926875,1404.12206167,32.7488941667,686.161123333,351.029515
105,2009-10-01,311.168439167,7.06016833333,,18.6423133333,1420.39067417,33.52532,705.283411667,350.764449167
106,2009-11-01,317.787914167,7.28639833333,,18.0565591667,1424.90450083,36.7497,703.7909275,350.273665
107,2009-12-01,321.910338333,7.43550916667,,20.8629483333,1421.74367083,38.4570883333,699.317253333,344.985415833
108,2010-01-01,317.53177,7.26609916667,,22.69168,1418.22163667,41.5998325,697.800471667,346.023585833
109,2010-02-01,317.0722025,6.76689333333,,25.8272233333,1416.21129,43.6409333333,688.93769,349.912866667
110,2010-03-01,316.407173333,5.8584725,,25.9685233333,1403.28330333,46.640615,675.389635,351.414330833
111,2010-04-01,316.007556667,5.69511416667,,26.6400575,1397.21159833,48.9159516667,666.8949325,353.012360833
112,2010-05-01,310.957244167,5.54713833333,,27.2120575,1403.41243417,51.4472158333,677.975780833,352.486556667
113,2010-06-01,315.244024167,5.52468166667,,26.5504641667,1401.06451833,51.457955,672.936275,350.7254025
114,2010-07-01,318.7496125,5.46251416667,,25.8859483333,1386.79265167,52.3094466667,652.687001667,353.299596667
115,2010-08-01,318.272126667,5.24407916667,,23.7570733333,1370.94085083,52.9857933333,637.35327,355.06843
116,2010-09-01,319.271343333,5.15042416667,,21.1257333333,1352.26624833,54.5381716667,617.785479167,357.575414167
117,2010-10-01,328.8965425,5.05540666667,,20.2188533333,1344.71185417,55.4343391667,596.928111667,361.974329167
118,2010-11-01,330.845350833,5.03120333333,,20.249485,1334.0027425,56.3613016667,581.8735325,364.3297
119,2010-12-01,328.993726667,4.86858333333,,17.1490225,1330.89888417,58.5210091667,575.479839167,372.073719167
120,2011-01-01,331.581490833,4.59719583333,,14.7970716667,1331.14067167,58.8866275,573.069273333,374.557831667
121,2011-02-01,331.143606667,4.34539166667,,12.8210016667,1335.50704083,62.53187,579.621639167,374.862501667
122,2011-03-01,329.589833333,4.09548083333,,11.4046725,1354.36665,64.2845925,599.487014167,376.4795925
123,2011-04-01,325.150700833,3.76123916667,,10.3507466667,1360.583085,65.3825383333,611.183399167,376.0802025
124,2011-05-01,319.133105833,3.68141,,9.73469666667,1330.813805,66.944925,586.6416975,376.716575
125,2011-06-01,315.350809167,3.52927,,9.60391916667,1297.0746375,67.628795,558.7333175,374.615013333
126,2011-07-01,316.703795,3.5264175,,9.94803166667,1288.00530833,69.2407733333,548.745836667,373.923416667
127,2011-08-01,320.148345833,3.51882333333,,9.43929666667,1285.953735,70.1434783333,543.090215833,374.361401667
