,DateTime,Hydro,Coal,Petroleum Liquids,All,Wind,Natural Gas,Other Renewable,Nuclear
171,2015-04-01,123.426440833,20.9627983333,1.30553333333,1542.0959875,35.42873,442.855373333,173.582025,775.812416667
172,2015-05-01,121.885114167,21.1108483333,1.54984333333,1541.14608333,34.8935575,446.1468525,170.246254167,776.046583333
173,2015-06-01,121.88083,21.02979,1.6253225,1528.80109083,34.1887966667,435.4251,168.3793925,776.292083333
174,2015-07-01,108.968741667,20.71719,1.91491583333,1507.41938,34.6562016667,425.564554167,169.568115833,776.519
175,2015-08-01,104.317914167,24.0462075,2.71631666667,1506.0345325,35.0654641667,424.04763,169.9867425,776.754583333
176,2015-09-01,103.0137725,27.2003191667,2.9577725,1509.42596583,35.9899233333,423.370525,171.965548333,776.756333333
177,2015-10-01,102.886651667,25.6186508333,3.08787666667,1513.34209583,36.1959516667,422.160121667,172.510368333,782.948166667
178,2015-11-01,99.3229241667,24.1761958333,3.04867416667,1574.5479,35.7266183333,409.753140833,173.829904167,860.299916667
179,2015-12-01,97.5487925,23.71473,2.934855,1602.22265,35.05555,401.551318333,175.685765833,896.696333333
180,2016-01-01,95.4488358333,35.1680875,3.23319666667,1606.87442417,36.0270008333,395.369669167,176.807644167,896.763583333
181,2016-02-01,94.7608983333,31.89281,3.38187416667,1593.23823167,35.2219475,381.9342975,175.7152825,901.470833333
182,2016-03-01,92.0355175,30.62459,3.56795666667,1583.64726083,34.723545,378.712331667,175.641714167,899.004083333
183,2016-04-01,87.3737141667,31.2704675,3.69180916667,1602.48680167,34.6614691667,387.321189167,177.135183333,911.647666667
184,2016-05-01,86.5650941667,30.9628966667,3.51572333333,1526.32778083,34.3380466667,386.8406925,177.863029167,836.539333333
185,2016-06-01,91.79262,31.326485,3.85206,1511.17260167,34.69726,370.724655,177.625965833,831.808083333
186,2016-07-01,99.7250475,34.1657166667,3.75372,1517.59276417,34.4096025,366.067105833,177.949703333,831.89675
187,2016-08-01,106.030715,31.2608816667,2.89020083333,1503.9701175,33.6598616667,351.832688333,175.938014167,831.98175
188,2016-09-01,109.045214167,27.2672041667,2.58857,1487.94900333,33.2596141667,338.448696667,174.251229167,832.319083333
189,2016-10-01,111.408194167,26.9694416667,2.53057166667,1481.0997475,33.3389741667,331.627695833,172.176385833,832.339
190,2016-11-01,113.046816667,27.03546,2.61286333333,1472.9903675,33.5466908333,322.771065,171.046420833,832.431583333
191,2016-12-01,119.017375,27.7439841667,2.68560416667,1462.75699917,34.3636316667,307.553186667,169.174393333,832.530583333
192,2017-01-01,117.7834625,23.94009,8.7413025,1453.9034,34.2993341667,298.341918333,168.480939167,832.558666667
193,2017-02-01,117.9876625,40.314575,20.5322483333,1480.7029975,34.5735275,296.214164167,169.0301625,832.582
194,2017-03-01,119.186706667,43.4186516667,20.5227525,1477.65028167,34.8214308333,288.452491667,169.423536667,832.601666667
195,2017-04-01,119.056123333,45.6319391667,20.53988,1464.661395,34.8384983333,274.292973333,168.187508333,832.907916667
196,2017-05-01,115.078335,52.60211,20.5392083333,1509.157105,35.7491725,239.510091667,169.414378333,907.975333333
197,2017-06-01,110.403858333,52.3674016667,20.2250691667,1497.57765,36.1915333333,229.762775833,168.103266667,912.7165
198,2017-07-01,108.907385833,50.6619441667,20.1561566667,1500.36745667,36.9124166667,236.546396667,167.409609167,912.68775
199,2017-08-01,108.662265833,51.6985558333,20.51084,1517.00524083,37.8556058333,251.434696667,168.036599167,912.674916667
200,2017-09-01,113.028161667,54.2950083333,20.6654141667,1531.55941,38.607085,259.536198333,167.595301667,912.45825
201,2017-10-01,119.051103333,55.3242066667,22.4230390909,1525.4826775,38.7967658333,246.192996667,169.091111667,911.172666667
202,2017-11-01,126.259423333,55.2620083333,22.4204945455,1479.48807417,38.1057425,265.444555833,168.972946667,838.894
203,2017-12-01,129.149275,59.32043,23.1485727273,1478.42459417,37.3133625,259.744030833,168.1264375,838.63625
204,2018-01-01,136.748606667,57.2189436364,16.3941190909,1465.14939667,36.1422925,249.294951667,166.005085833,838.474666667
205,2018-02-01,143.609384167,46.6023672727,3.59355545455,1454.2467425,35.4071433333,253.267910833,165.9398575,838.250916667
206,2018-03-01,145.686503636,42.675792,3.631718,1471.26982545,34.4662390909,273.468777273,164.517624545,838.034363636
207,2018-04-01,147.245137,43.2101822222,3.72971777778,1485.958167,33.569892,297.20104,162.454023,828.9122
208,2018-05-01,148.480142222,38.082355,3.9349625,1500.40352222,32.5803022222,320.333503333,165.007984444,820.923555556
209,2018-06-01,149.98733,43.3017542857,4.26814285714,1520.8376025,32.08475875,345.93947,167.28784125,807.146625
210,2018-07-01,152.978807143,48.2280166667,4.71932,1503.83075714,31.3578471429,335.078615714,167.053041429,793.811428571
