,DateTime,Hydro,Coal,Utility Solar,Petroleum Liquids,All,Natural Gas,Petroleum Coke,Other Renewable
177,2015-10-01,299.790366667,5431.18116167,,7.92021083333,6571.95892417,699.7459175,89.8686791667,38.8472233333
178,2015-11-01,298.267899167,5454.65855417,,8.24592416667,6582.76052333,684.7698925,92.3643791667,39.6295825
179,2015-12-01,292.989816667,5485.34165917,,7.92083,6593.67626167,671.130255,92.4420783333,39.3275308333
180,2016-01-01,289.827499167,5568.50486167,,7.35282833333,6689.45842417,685.69449,94.1972575,39.7188858333
181,2016-02-01,285.776009167,5532.79032833,,7.5890575,6632.68866833,665.056620833,98.0763016667,39.53212
182,2016-03-01,274.669315,5434.17437167,,7.65870833333,6499.35420167,645.699214167,93.6598991667,39.802805
183,2016-04-01,281.171574167,5409.87724583,,7.56576666667,6491.8681725,659.764161667,90.4135016667,39.6724258333
184,2016-05-01,284.645451667,5334.02661583,1.38416666667,7.78079833333,6448.3611375,692.0113275,86.3789641667,40.3057933333
185,2016-06-01,286.814575833,5364.13816833,1.545,7.31589666667,6485.60232,699.147040833,83.1223308333,41.9389516667
186,2016-07-01,299.1481425,5330.62720083,1.53916666667,7.24261083333,6478.11258917,715.659074167,80.6299258333,41.8703166667
187,2016-08-01,309.169263333,5251.56109417,1.5465225,6.918175,6443.0599325,757.165340833,73.2027241667,42.0805733333
188,2016-09-01,313.695309167,5150.34402833,1.52857833333,6.8628425,6362.2469775,782.604251667,63.2193175,42.3115683333
189,2016-10-01,328.374283333,5007.900665,1.52524,6.90546666667,6247.16101,802.574515,55.77836,42.4117708333
190,2016-11-01,344.411895,4933.47048833,1.52438583333,6.5594725,6163.76668417,783.848793333,48.7671616667,43.3139133333
191,2016-12-01,366.029486667,4886.09820583,1.5771425,6.55287333333,6168.48789,821.245398333,42.1759608333,42.9439741667
192,2017-01-01,375.5015,4769.70908083,1.65708333333,5.88868583333,6098.26630917,864.96903,35.5921525,42.8812666667
193,2017-02-01,381.040273333,4735.15217917,1.85454833333,5.80872916667,6158.60686917,962.082273333,27.3657108333,43.1410216667
194,2017-03-01,386.354511667,4693.38625583,2.02870333333,5.83611916667,6182.3581125,1025.27012833,24.62543,42.9839525
195,2017-04-01,382.0680725,4623.98568583,2.275015,6.0349975,6130.7722075,1052.41794417,18.7790658333,43.5273183333
196,2017-05-01,388.174543333,4626.55883,2.57714666667,5.94501083333,6130.76082667,1047.71379583,14.7854458333,43.301775
197,2017-06-01,398.799244167,4608.547205,2.908875,5.90624416667,6161.23439833,1090.81040667,9.36328,43.4557633333
198,2017-07-01,404.0550025,4644.16836167,3.2524525,5.97364416667,6204.52941083,1099.17706917,2.6001225,43.979355
199,2017-08-01,398.745233333,4653.08582833,3.572465,6.01248083333,6205.9529425,1098.96454,0.0,44.2957366667
200,2017-09-01,397.664751667,4688.55685833,3.8945625,5.95404666667,6261.14231333,1119.43203333,0.0,44.4198558333
201,2017-10-01,395.2162675,4781.08721417,4.12333,6.18908416667,6396.19157167,1163.596795,0.0,44.6069416667
202,2017-11-01,395.782975,4811.92809417,4.33656833333,6.32835833333,6496.85881583,1233.18615333,-0.0096875,44.4751291667
203,2017-12-01,393.223631667,4879.71798833,4.42224833333,6.436615,6573.30600083,1243.62652917,-0.021585,44.91502
204,2018-01-01,393.574851667,4930.6786075,4.66206272727,7.31583666667,6599.26104,1217.12646583,-0.021585,45.29188
205,2018-02-01,398.457520833,4923.48663,4.840211,7.335105,6565.144135,1185.440715,-0.021585,45.08731
206,2018-03-01,404.509236364,5011.36479545,5.01847222222,7.27904181818,6675.11981636,1200.96641,-0.0235472727273,45.4086581818
207,2018-04-01,411.367655,5151.157853,5.08543875,7.219983,6816.79329,1196.225548,-0.025902,45.3038
208,2018-05-01,417.635106667,5314.53864111,5.05199,7.49766666667,7018.17925667,1227.60680222,-0.02878,45.3584266667
209,2018-06-01,415.4977525,5390.77798875,4.908865,7.5246375,7089.5397875,1224.48540125,-0.0323775,45.12481
210,2018-07-01,413.419081429,5350.57082,,7.68752285714,7062.59723429,1240.19123571,-0.0370028571429,44.7357142857
